source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,85,20.0,-91.731351852417,0.18229368032,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895741699993,0.002593824990000021,37.4381
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,86,16.0,-92.10172081,0.18491559018,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689575829969,0.0026219098599999935,42.3705
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,87,12.0,-92.472089767,0.18752028395585,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0026046937758499866,53.98309999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,88,8.0,-92.842458725,0.19009060014,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025703161841500177,34.4825
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,89,4.0,-93.212827682,0.19253933573,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0024487355900000007,42.06270000000001
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,90,0.0,-93.58319664,0.19498929801,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0024499622799999954,37.3515
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,91,356.0,-93.953565598,0.19743348375,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0024441857399999933,48.3116
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,92,352.0,-94.323934555,0.19994453854,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0025110547899999947,54.3964
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,93,348.0,-94.694303513,0.20261646348,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0026719249400000145,54.7034
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,94,344.0,-95.06467247,0.20527899978,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.00266253629999999,56.4311
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,95,340.0,-95.435041428,0.20781276265,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025337628700000114,50.2352
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,96,336.0,-95.805410385,0.21030902504,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0024962623900000036,44.4879
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,97,332.0,-96.175779343,0.21280072157,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002491696529999976,41.29809999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,98,328.0,-96.546148300171,0.21518185931,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689571709958,0.002381137740000011,47.8144
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,99,324.0,-96.916517258,0.21738833351,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895782900103,0.0022064742000000026,50.4446
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,100,320.0,-97.28688621521,0.21955166295,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689572100046,0.0021633294400000003,49.7499
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,101,316.0,-97.657255173,0.22173594982,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895778999224,0.002184286869999996,44.8558
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,102,312.0,-98.02762413,0.22400627578,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0022703259600000136,33.5005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,103,308.0,-98.397993088,0.22614663806,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0021403622799999744,35.3266
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,104,304.0,-98.768362045,0.22825335946,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002106721400000011,34.255100000000006
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,105,300.0,-99.138731003,0.23031659579,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020632363299999956,32.2508
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,106,296.0,-99.50909996,0.23228680322,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019702074300000094,34.6708
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,107,292.0,-99.879468918,0.23424412784,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001957324620000006,37.086200000000005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,108,288.0,-100.24983788,0.23618666340501,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689620000006,0.0019425355650099785,35.6567
