source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm,projection_label,projection_pitch,projection_mu_density_proxy,projection_aperture_change,projection_leaf_travel,projection_leaf_travel_mlcx1,projection_leaf_travel_mlcx2
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,61,116.0,-82.842496872,0.13381067214,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002034279730000005,31.918400000000002,60→61,0.09259223950000006,0.005492576216390153,7.026506794881015,446.08814111251706,216.4422753809728,229.64586573154423
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,62,112.0,-83.212865829,0.13573412636,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019234542200000093,33.936600000000006,61→62,0.09259223924999915,0.005193346212328554,5.449160794542568,331.2467140705886,152.1968807985182,179.0498332720704
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,63,108.0,-83.583234787,0.13759619439,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001862068029999997,41.2858,62→63,0.09259223950000006,0.005027602853260709,19.842915668974587,354.55212204906195,160.44244183120756,194.1096802178544
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,64,104.0,-83.953603745,0.13934932642,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001753132029999993,44.919900000000005,63→64,0.09259223950000006,0.004733474531631757,9.812107417490429,409.45494141547334,214.86762937621774,194.5873120392556
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,65,100.0,-84.323972702,0.14110324652585,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0017539201058499876,49.992399999999996,64→65,0.0925922392500027,0.004735602357326984,13.695802264550597,281.4871441830827,139.25789142203539,142.22925276104732
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,66,96.0,-84.694341659546,0.14297108942,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895754599186,0.0018678428941500125,53.983,65→66,0.09259223938649797,0.0050431950521071045,10.774661101300461,219.85427866180845,114.34381617887377,105.51046248293468
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,67,92.0,-85.064710617,0.14480795727,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.370368957454005,0.0018368678500000069,44.933299999999996,66→67,0.09259223936350125,0.004959562115105507,24.434283213716302,338.92716296448515,180.48515852817235,158.4420044363128
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,68,88.0,-85.435079574585,0.1466884222,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895758500066,0.001880464929999992,32.4055,67→68,0.09259223939625016,0.005077274678368314,33.82518902687688,312.6441825876431,118.81854323576874,193.82563935187437
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,69,84.0,-85.805448532,0.14864367094,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689574149962,0.0019552487399999985,36.5974,68→69,0.09259223935374905,0.005279191738008307,11.31817317859876,338.2491904137308,150.89520566211777,187.353984751613
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,70,80.0,-86.17581749,0.15059688327,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019532123300000093,42.820299999999996,69→70,0.09259223950000006,0.00527369340170244,16.801894072342833,435.12717931398527,213.79194527420395,221.33523403978134
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,71,76.0,-86.546186447,0.15259599488,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.001999111609999993,39.092,70→71,0.09259223924999915,0.005397621944865134,10.06644841457388,226.29515356493755,110.77656273444202,115.51859083049551
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,72,72.0,-86.916555405,0.1545924469,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0019964520200000113,35.66859999999999,71→72,0.09259223950000006,0.005390441009907774,9.243215248077043,177.02941508397134,88.7355683842164,88.29384669975494
